Name,Destination,Duration,Price,Link,Itinerary
Kumrat Camping Tour,Kumrat Valley,3 Days 2 Nights,"Rs. 80,000",https://pakistantourntravel.com/tours/kumrat-valley-tour-packages/3-days-kumrat-tour/,"Camping experience in Kumrat Valley with visits to Kala Chasma waterfall, streams, and forest areas. Includes guided hikes and nature experiences."
Jahaz Banda Kumrat,Kumrat Valley,5 Days 4 Nights,"Rs. 195,000",https://pakistantourntravel.com/tours/kumrat-valley-tour-packages/5-days-kumrat-tour/,"Luxury package visiting Thal, Thal Mosque, Kumrat Forest, Waterfall, Taki Panda, Jahaz Banda, Kund Waterfall, Kund Panda, and Katura Lake."
Jahaz Banda Katora Lake,Kumrat Valley,4 Days 3 Nights,"Rs. 95,000",https://pakistantourntravel.com/tours/kumrat-valley-tour-packages/,"Tour package including Kumrat Falls, Kala Chashma, Katora Lake, Jahaz Banda Meadows, Thar, Panjkora River, and Kumrat Forest with jeep tours and guided hikes."
